Dunaliella salina	NC_016732
Durinskia baltica	NC_014287
Echinacea angustifolia	NC_034324
Echinacea atrorubens	NC_034323
Echinacea laevigata	NC_034322
Echinacea pallida	NC_034321
Echinacea paradoxa	NC_034320
Echinacea purpurea	NC_034327
Echinacea sanguinea	NC_034328
Echinacea speciosa	NC_034325
Echinacea tennesseensis	NC_034326
Echinochloa colona	NC_032383
Echinochloa crus-galli	NC_028719
Echinochloa esculenta	NC_032379
Echinochloa frumentacea	NC_029827
Echinochloa oryzicola	NC_024643
Echites umbellatus	NC_025655
Eclipta prostrata	NC_030773
Ectocarpus siliculosus	NC_013498
Elaeagnus macrophylla	NC_028066
Elaeis guineensis	NC_017602
Eleusine indica	NC_030486
Eleutherococcus senticosus	NC_016430
Elleanthus sodiroi	NC_027266
Elliptochloris bilobata	NC_025548
Elodea canadensis	NC_018541
Elytrophorus spicatus	NC_025233
Emiliania huxleyi	NC_007288
Encephalartos lehmannii	NC_027514
Entransia fimbriata	NC_030313
Ephedra equisetina	NC_011954
Ephedra foeminea	NC_029347
Epimedium acuminatum	NC_029941
Epimedium dolichostemon	NC_029942
Epimedium koreanum	NC_029943
Epimedium lishihchenii	NC_029944
Epimedium pseudowushanense	NC_029945
Epimedium sagittatum	NC_029428
Epipactis mairei	NC_030705
Epipactis veratrifolia	NC_030708
Epipogium aphyllum	NC_026449
Epipogium roseum	NC_026448
Epipremnum aureum	NC_027954
Equisetum arvense	NC_014699
Equisetum hyemale	NC_020146
Eragrostis minor	NC_029412
Eragrostis tef	NC_029413
Eremochloa ciliaris	NC_035028
Eremochloa eriopoda	NC_035023
Eremospatha macrocarpa	NC_029964
Eriachne armittii	NC_034791
Eriachne stipacea	NC_025234
Eriobotrya japonica	NC_034639
Eriochloa meyeriana	NC_030624
Eriochrysis cf. cayennensis 365-2	NC_029882
Eriochrysis laxa	NC_029883
Eriocnema fulva	NC_031878
Eriolarynx fasciculata	NC_030171
Erodium absinthoides	NC_026847
Erodium carvifolium	NC_015083
Erodium chrysanthum	NC_027065
Erodium crassifolium	NC_025906
Erodium gruinum	NC_025907
Erodium guttatum	NC_018762
Erodium manescavi	NC_030720
Erodium reichardii	NC_030721
Erodium rupestre	NC_030719
Erodium texanum	NC_014569
Erodium trifolium	NC_024635
Erycina pusilla	NC_018114
Erythranthe lutea	NC_030212
Erythrotrichia carnea	NC_031176
Erythroxylum novogranatense	NC_030601
Ettlia pseudoalveolaris	NC_025532
Eucalyptus aromaphloia	NC_022396
Eucalyptus baxteri	NC_022382
Eucalyptus camaldulensis	NC_022398
Eucalyptus cladocalyx	NC_022394
Eucalyptus cloeziana	NC_022388
Eucalyptus curtisii	NC_022391
Eucalyptus deglupta	NC_022399
Eucalyptus delegatensis	NC_022380
Eucalyptus diversicolor	NC_022402
Eucalyptus diversifolia	NC_022383
Eucalyptus elata	NC_022385
Eucalyptus erythrocorys	NC_022406
Eucalyptus globulus subsp. globulus	NC_008115
Eucalyptus grandis	NC_014570
Eucalyptus guilfoylei	NC_022405
Eucalyptus marginata	NC_022390
Eucalyptus melliodora	NC_022392
Eucalyptus microcorys	NC_022404
Eucalyptus nitens	NC_022395
Eucalyptus obliqua	NC_022378
Eucalyptus patens	NC_022389
Eucalyptus polybractea	NC_022393
Eucalyptus radiata	NC_022379
Eucalyptus regnans	NC_022386
Eucalyptus saligna	NC_022397
Eucalyptus salmonophloia	NC_022403
Eucalyptus sieberi	NC_022384
Eucalyptus spathulata	NC_022400
Eucalyptus torquata	NC_022401
Eucalyptus umbra	NC_022387
Eucalyptus verrucata	NC_022381
Eugeissona tristis	NC_029963
Eugenia uniflora	NC_027744
Euglena archaeoplastidiata	NC_035156
Euglena gracilis	NC_001603
Euglena viridis	NC_020460
Euglenaformis proxima	NC_024154
Euglenaria anabaena	NC_027269
Eulalia aurea	NC_030503
Eulalia contorta	NC_035026
Eulalia siamensis	NC_035031
Eulaliopsis binata	NC_035049
Eunotia naegelii	NC_024928
Euonymus japonicus	NC_028067
Euphorbia esula	NC_033910
Euptelea pleiosperma	NC_029429
Eustrephus latifolius	NC_025305
Eutrema botschantzevii	NC_029379
Eutrema halophilum	NC_029378
Eutrema heterophyllum	NC_028728
Eutrema salsugineum	NC_028170
Eutrema yunnanense	NC_028727
Eutreptiella gymnastica	NC_017754
Exellodendron barbatum	NC_030558
Exostigma notobellidiastrum	NC_034864
Fagopyrum esculentum subsp. ancestrale	NC_010776
Fagopyrum tataricum	NC_027161
Faidherbia albida	NC_035347
Fargesia denudata	NC_034747
Fargesia nitida	NC_024715
Fargesia spathacea	NC_024716
Fargesia yunnanensis	NC_024717
Fatsia japonica	NC_027685
Ferrocalamus rimosivaginus	NC_015831
Festuca altissima	NC_019648
Festuca arundinacea	NC_011713
Festuca ovina	NC_019649
Festuca pratensis	NC_019650
Ficus carica	NC_035237
Ficus racemosa	NC_028185
Ficus religiosa	NC_033979
Fistulifera solaris	NC_015403
Floscaldasia hypsophila	NC_034888
Floydiella terrestris	NC_014346
Foeniculum vulgare	NC_029469
Fragaria chiloensis	NC_019601
Fragaria mandshurica	NC_018767
Fragaria pentaphylla	NC_034347
